3:Skip,0,312853
1:COMINGOUT Agent[01] SEER,1,41859
4:VOTE Agent[01],2,35094
5:VOTE Agent[03],3,47234
2:Skip,4,318167
4:COMINGOUT Agent[04] SEER,5,45297
3:AGREE VOTE Agent[01],6,7086
2:VOTE Agent[01],7,52317
5:Over,8,937961
1:DIVINED Agent[04] WEREWOLF,9,4415
5:VOTE Agent[04],10,51287
2:AGREE Skip,11,139526
1:VOTE Agent[03],12,50183
4:DIVINED Agent[02] HUMAN,13,14913
3:COMINGOUT Agent[03] SEER,14,43947
1:Skip,15,317815
4:Skip,16,233484
3:DIVINED Agent[01] HUMAN,17,12927
2:AGREE DIVINED Agent[02] HUMAN,18,7959
4:Over,19,798210
3:VOTE Agent[01],20,51724
1:Over,21,630686
5:ESTIMATE Agent[04] WEREWOLF,22,34436
3:Over,23,607498
2:AGREE DIVINED Agent[01] HUMAN,24,6588
5:ESTIMATE Agent[01] VILLAGER,25,15422
2:AGREE ESTIMATE Agent[01] VILLAGER,26,3001
2:Over,27,551520
5:VOTE Agent[02],28,31631
3:AGREE VOTE Agent[02],29,3460
3:ESTIMATE Agent[02] WEREWOLF,30,19941
5:ESTIMATE Agent[02] WEREWOLF,31,24866
2:DISAGREE ESTIMATE Agent[02] WEREWOLF,32,9303
3:VOTE Agent[02],33,46552
3:REQUEST(VOTE Agent[02]),34,8571
5:ESTIMATE Agent[03] VILLAGER,35,13321
2:AGREE ESTIMATE Agent[03] VILLAGER,36,2215
5:COMINGOUT Agent[05] SEER,37,41978
2:REQUEST(COMINGOUT Agent[02] SEER),38,6730
4:DIVINED Agent[05] WEREWOLF,39,4687
5:DIVINED Agent[03] WEREWOLF,40,2831
1:VOTE Agent[05],41,44436
2:VOTE Agent[03],42,48026
4:ESTIMATE Agent[01] WEREWOLF,43,17719
4:REQUEST(DIVINATION Agent[01]),44,5873
5:ESTIMATE Agent[03] WEREWOLF,45,27492
3:ESTIMATE Agent[05] POSSESSED,46,602
4:ESTIMATE Agent[05] WEREWOLF,47,18306
4:REQUEST(DIVINATION Agent[05]),48,5390
3:VOTE Agent[04],49,42360
2:DISAGREE ESTIMATE Agent[05] POSSESSED,50,135
4:VOTE Agent[05],51,42424
2:DISAGREE DIVINED Agent[05] WEREWOLF,52,1327
2:VOTE Agent[04],53,42577
1:DIVINED Agent[03] WEREWOLF,54,4340
2:DISAGREE DIVINED Agent[03] WEREWOLF,55,675
2:DISAGREE ESTIMATE Agent[03] WEREWOLF,56,2972
2:REQUEST(COMINGOUT Agent[02] WEREWOLF),57,2802
4:VOTE Agent[02],58,33875
1:VOTE Agent[04],59,43314
2:VOTE Agent[05],60,44831
3:REQUEST(ESTIMATE Agent[05] POSSESSED),61,1670
3:VOTE Agent[05],62,47943
3:DISAGREE ESTIMATE Agent[03] WEREWOLF,63,5545
5:ESTIMATE Agent[05] VILLAGER,64,4246
2:AGREE ESTIMATE Agent[05] VILLAGER,65,2134
1:DIVINED Agent[05] WEREWOLF,66,8895
3:AGREE VOTE Agent[05],67,2788
4:ESTIMATE Agent[02] WEREWOLF,68,18018
1:DIVINED Agent[02] WEREWOLF,69,5838
1:COMINGOUT Agent[01] POSSESSED,70,3289
1:VOTE Agent[02],71,54258
2:DISAGREE DIVINED Agent[02] WEREWOLF,72,1558
5:DIVINED Agent[01] WEREWOLF,73,2783
5:ESTIMATE Agent[04] VILLAGER,74,9012
5:ESTIMATE Agent[05] WEREWOLF,75,18839
3:DISAGREE ESTIMATE Agent[05] WEREWOLF,76,3402
2:DISAGREE ESTIMATE Agent[01] WEREWOLF,77,3712
4:VOTE Agent[03],78,32400
5:COMINGOUT Agent[05] WEREWOLF,79,3135
5:DIVINED Agent[04] HUMAN,80,16050
5:VOTE Agent[01],81,28736
3:AGREE REQUEST(ESTIMATE Agent[05] POSSESSED),82,440
2:AGREE DIVINED Agent[04] HUMAN,83,4657
2:AGREE ESTIMATE Agent[04] VILLAGER,84,2366
3:COMINGOUT Agent[03] WEREWOLF,85,820
3:REQUEST(COMINGOUT Agent[05] POSSESSED),86,214
4:DIVINED Agent[05] HUMAN,87,14503
4:ESTIMATE Agent[03] WEREWOLF,88,18131
4:REQUEST(DIVINATION Agent[03]),89,5910
2:AGREE DIVINED Agent[05] HUMAN,90,4233
5:ESTIMATE Agent[04] SEER,91,1828
2:AGREE ESTIMATE Agent[04] SEER,92,1777
5:ESTIMATE Agent[02] VILLAGER,93,15093
2:AGREE ESTIMATE Agent[02] VILLAGER,94,10311
3:DIVINED Agent[04] WEREWOLF,95,4384
3:REQUEST(VOTE Agent[04]),96,8463
3:AGREE VOTE Agent[04],97,2201
4:DIVINED Agent[03] HUMAN,98,14576
2:AGREE DIVINED Agent[03] HUMAN,99,5554
3:AGREE ESTIMATE Agent[03] VILLAGER,100,7486
3:REQUEST(ESTIMATE Agent[04] POSSESSED),101,1118
3:DISAGREE ESTIMATE Agent[04] WEREWOLF,102,1989
5:ESTIMATE Agent[01] WEREWOLF,103,23746
2:REQUEST(ESTIMATE Agent[02] VILLAGER),104,1939
1:DIVINED Agent[03] HUMAN,105,7250
3:AGREE ESTIMATE Agent[02] WEREWOLF,106,508
4:DIVINED Agent[02] WEREWOLF,107,3871
5:DIVINED Agent[02] WEREWOLF,108,2551
3:REQUEST(ESTIMATE Agent[02] POSSESSED),109,1208
3:REQUEST(COMINGOUT Agent[02] POSSESSED),110,151
5:DIVINED Agent[03] HUMAN,111,15083
4:DIVINED Agent[01] HUMAN,112,16629
2:COMINGOUT Agent[02] SEER,113,41080
2:DIVINED Agent[01] HUMAN,114,12617
2:DISAGREE ESTIMATE Agent[05] WEREWOLF,115,5364
1:DIVINED Agent[05] HUMAN,116,5159
5:DIVINED Agent[01] HUMAN,117,14509
2:DISAGREE DIVINED Agent[04] WEREWOLF,118,763
3:AGREE ESTIMATE Agent[03] WEREWOLF,119,795
3:AGREE REQUEST(ESTIMATE Agent[02] POSSESSED),120,341
2:DISAGREE ESTIMATE Agent[04] WEREWOLF,121,3892
5:DIVINED Agent[02] HUMAN,122,14351
3:DIVINED Agent[01] WEREWOLF,123,5454
3:REQUEST(VOTE Agent[01]),124,8942
5:ESTIMATE Agent[03] SEER,125,1021
2:AGREE ESTIMATE Agent[03] SEER,126,945
2:DIVINED Agent[01] WEREWOLF,127,5279
3:REQUEST(ESTIMATE Agent[01] POSSESSED),128,1123
1:DIVINED Agent[04] HUMAN,129,5844
3:ESTIMATE Agent[05] WEREWOLF,130,20314
3:REQUEST(VOTE Agent[05]),131,12535
3:AGREE REQUEST(ESTIMATE Agent[01] POSSESSED),132,292
3:AGREE ESTIMATE Agent[05] WEREWOLF,133,496
5:ESTIMATE Agent[01] SEER,134,994
2:AGREE ESTIMATE Agent[01] SEER,135,1077
2:DISAGREE DIVINED Agent[01] WEREWOLF,136,738
3:ESTIMATE Agent[02] POSSESSED,137,536
3:ESTIMATE Agent[04] WEREWOLF,138,19238
3:DIVINED Agent[05] HUMAN,139,7389
4:REQUEST(VOTE Agent[05]),140,22004
3:COMINGOUT Agent[03] POSSESSED,141,2040
3:DIVINED Agent[05] WEREWOLF,142,6986
4:DIVINED Agent[01] WEREWOLF,143,4130
3:AGREE ESTIMATE Agent[01] WEREWOLF,144,488
4:DIVINED Agent[03] WEREWOLF,145,3759
3:AGREE REQUEST(ESTIMATE Agent[04] POSSESSED),146,365
4:REQUEST(VOTE Agent[03]),147,11884
4:REQUEST(DIVINATION Agent[02]),148,5624
3:REQUEST(COMINGOUT Agent[04] POSSESSED),149,240
1:COMINGOUT Agent[01] WEREWOLF,150,890
1:REQUEST(VOTE Agent[05]),151,4702
1:DIVINED Agent[02] HUMAN,152,12785
5:VOTE Agent[05],153,3167
1:REQUEST(VOTE Agent[02]),154,4843
4:ESTIMATE Agent[05] POSSESSED,155,841
3:AGREE ESTIMATE Agent[05] POSSESSED,156,34
3:DIVINED Agent[02] WEREWOLF,157,4618
5:DIVINED Agent[05] HUMAN,158,930
3:ESTIMATE Agent[04] POSSESSED,159,550
2:DIVINED Agent[03] HUMAN,160,7214
3:REQUEST(COMINGOUT Agent[03] SEER),161,3885
3:COMINGOUT Agent[03] VILLAGER,162,55
4:ESTIMATE Agent[02] POSSESSED,163,864
2:DISAGREE ESTIMATE Agent[02] POSSESSED,164,48
5:ESTIMATE Agent[02] SEER,165,925
3:AGREE ESTIMATE Agent[02] SEER,166,741
2:DISAGREE ESTIMATE Agent[04] POSSESSED,167,77
3:AGREE ESTIMATE Agent[04] WEREWOLF,168,361
5:COMINGOUT Agent[05] VILLAGER,169,1033
3:DIVINED Agent[02] HUMAN,170,8586
4:REQUEST(VOTE Agent[02]),171,12233
3:AGREE ESTIMATE Agent[01] SEER,172,990
3:ESTIMATE Agent[01] WEREWOLF,173,19650
5:DIVINED Agent[04] WEREWOLF,174,2327
1:ESTIMATE Agent[04] VILLAGER,175,5657
1:ESTIMATE Agent[03] WEREWOLF,176,8427
1:ESTIMATE Agent[02] VILLAGER,177,5659
1:ESTIMATE Agent[05] WEREWOLF,178,8770
4:REQUEST(VOTE Agent[01]),179,12508
1:ESTIMATE Agent[05] VILLAGER,180,5174
1:ESTIMATE Agent[04] WEREWOLF,181,8114
3:ESTIMATE Agent[05] SEER,182,3893
2:DIVINED Agent[05] WEREWOLF,183,7432
1:ESTIMATE Agent[03] VILLAGER,184,5615
3:ESTIMATE Agent[02] SEER,185,2617
4:ESTIMATE Agent[01] POSSESSED,186,816
3:REQUEST(Agent[05] DIVINATION Agent[02]),187,224
3:DIVINED Agent[04] HUMAN,188,7892
1:ESTIMATE Agent[02] WEREWOLF,189,8309
1:ESTIMATE Agent[03] SEER,190,2441
2:DIVINED Agent[05] HUMAN,191,5343
2:DIVINED Agent[04] HUMAN,192,5810
1:ESTIMATE Agent[02] SEER,193,2379
3:REQUEST(Agent[05] DIVINATION Agent[05]),194,259
3:REQUEST(Agent[02] DIVINATION Agent[04]),195,127
3:DISAGREE ESTIMATE Agent[05] SEER,196,191
3:ESTIMATE Agent[04] SEER,197,3620
3:DISAGREE ESTIMATE Agent[01] POSSESSED,198,54
3:REQUEST(Agent[04] DIVINATION Agent[01]),199,204
3:DISAGREE ESTIMATE Agent[02] WEREWOLF,200,1534
3:DISAGREE ESTIMATE Agent[02] VILLAGER,201,26
3:REQUEST(Agent[05] DIVINATION Agent[01]),202,257
3:DISAGREE ESTIMATE Agent[05] VILLAGER,203,30
3:REQUEST(Agent[02] DIVINATION Agent[05]),204,248
4:ESTIMATE Agent[03] POSSESSED,205,867
1:ESTIMATE Agent[04] SEER,206,3232
3:ESTIMATE Agent[01] SEER,207,2804
1:ESTIMATE Agent[05] SEER,208,3543
1:VOTE Agent[01],209,358
3:REQUEST(Agent[05] DIVINATION Agent[04]),210,182
2:REQUEST(VOTE Agent[01]),211,5191
2:REQUEST(VOTE Agent[05]),212,5413
2:REQUEST(VOTE Agent[04]),213,5123
2:ESTIMATE Agent[05] SEER,214,4287
2:AGREE ESTIMATE Agent[05] WEREWOLF,215,600
2:DISAGREE ESTIMATE Agent[05] SEER,216,219
2:ESTIMATE Agent[05] WEREWOLF,217,16321
2:REQUEST(Agent[05] DIVINATION Agent[05]),218,301
2:ESTIMATE Agent[03] WEREWOLF,219,16461
2:REQUEST(Agent[05] DIVINATION Agent[03]),220,280
2:AGREE ESTIMATE Agent[03] WEREWOLF,221,656
2:REQUEST(Agent[03] DIVINATION Agent[03]),222,45
2:DIVINED Agent[03] WEREWOLF,223,4185
2:REQUEST(VOTE Agent[03]),224,5261
2:ESTIMATE Agent[04] WEREWOLF,225,15458
3:REQUEST(DIVINATION Agent[01]),226,3129
3:REQUEST(DIVINATION Agent[05]),227,2984
3:REQUEST(DIVINATION Agent[04]),228,3069
2:ESTIMATE Agent[04] SEER,229,4214
3:REQUEST(DIVINATION Agent[02]),230,3180
2:AGREE ESTIMATE Agent[04] WEREWOLF,231,539
2:REQUEST(Agent[05] DIVINATION Agent[04]),232,198
2:ESTIMATE Agent[01] WEREWOLF,233,15953
2:REQUEST(Agent[05] DIVINATION Agent[01]),234,273
2:DIVINED Agent[04] WEREWOLF,235,3954
3:ESTIMATE Agent[01] POSSESSED,236,551
2:ESTIMATE Agent[03] SEER,237,3443
2:DISAGREE ESTIMATE Agent[04] SEER,238,96
2:REQUEST(DIVINATION Agent[04]),239,392
2:REQUEST(Agent[03] DIVINATION Agent[01]),240,231
2:AGREE ESTIMATE Agent[01] WEREWOLF,241,790
4:ESTIMATE Agent[03] SEER,242,1055
4:ESTIMATE Agent[01] VILLAGER,243,4888
4:ESTIMATE Agent[05] VILLAGER,244,3416
3:DISAGREE ESTIMATE Agent[01] WEREWOLF,245,1523
4:ESTIMATE Agent[03] VILLAGER,246,4710
4:ESTIMATE Agent[05] SEER,247,1653
4:ESTIMATE Agent[02] VILLAGER,248,4914
2:AGREE ESTIMATE Agent[05] SEER,249,2017
4:VOTE Agent[04],250,83
4:ESTIMATE Agent[01] SEER,251,1263
4:ESTIMATE Agent[02] SEER,252,1222
2:AGREE ESTIMATE Agent[02] SEER,253,387
3:AGREE ESTIMATE Agent[05] SEER,254,1293
2:VOTE Agent[02],255,293
1:REQUEST(VOTE Agent[04]),256,4772
1:AGREE Skip,257,110832
2:REQUEST(ESTIMATE Agent[03] POSSESSED),258,1481
5:REQUEST(DIVINATION Agent[02]),259,2225
1:AGREE DIVINED Agent[04] HUMAN,260,3588
2:AGREE REQUEST(ESTIMATE Agent[03] POSSESSED),261,438
5:REQUEST(VOTE Agent[02]),262,4002
1:AGREE DIVINED Agent[05] HUMAN,263,3712
2:AGREE VOTE Agent[03],264,3770
1:AGREE ESTIMATE Agent[01] VILLAGER,265,10961
5:Skip,266,57941
1:AGREE DIVINED Agent[01] HUMAN,267,7010
5:REQUEST(DIVINATION Agent[03]),268,2267
1:DISAGREE ESTIMATE Agent[03] WEREWOLF,269,2894
5:REQUEST(VOTE Agent[03]),270,4004
5:REQUEST(VOTE Agent[04]),271,7759
2:REQUEST(ESTIMATE Agent[05] POSSESSED),272,2090
2:AGREE VOTE Agent[05],273,3354
2:AGREE VOTE Agent[04],274,3019
1:REQUEST(COMINGOUT Agent[01] SEER),275,5479
2:AGREE VOTE Agent[01],276,8644
1:AGREE ESTIMATE Agent[03] SEER,277,973
2:AGREE REQUEST(VOTE Agent[03]),278,833
1:AGREE ESTIMATE Agent[02] SEER,279,871
1:AGREE ESTIMATE Agent[03] VILLAGER,280,2435
1:REQUEST(COMINGOUT Agent[01] WEREWOLF),281,2391
5:REQUEST(DIVINATION Agent[04]),282,2140
1:AGREE ESTIMATE Agent[01] SEER,283,384
1:AGREE DIVINED Agent[02] HUMAN,284,4424
1:AGREE ESTIMATE Agent[05] SEER,285,1561
2:ESTIMATE Agent[05] POSSESSED,286,239
5:REQUEST(VOTE Agent[01]),287,4102
2:AGREE REQUEST(VOTE Agent[01]),288,1528
1:DISAGREE ESTIMATE Agent[01] WEREWOLF,289,8205
1:AGREE DIVINED Agent[03] HUMAN,290,4295
1:DISAGREE ESTIMATE Agent[02] WEREWOLF,291,3188
5:REQUEST(DIVINATION Agent[01]),292,2266
1:DISAGREE DIVINED Agent[01] WEREWOLF,293,1273
5:ESTIMATE Agent[02] POSSESSED,294,253
2:AGREE ESTIMATE Agent[02] POSSESSED,295,119
1:DISAGREE ESTIMATE Agent[05] WEREWOLF,296,5290
1:AGREE ESTIMATE Agent[04] SEER,297,1514
2:ESTIMATE Agent[04] POSSESSED,298,230
1:AGREE ESTIMATE Agent[05] VILLAGER,299,2165
1:DISAGREE DIVINED Agent[03] WEREWOLF,300,477
2:AGREE ESTIMATE Agent[02] WEREWOLF,301,1106
2:COMINGOUT Agent[02] POSSESSED,302,2730
1:AGREE ESTIMATE Agent[02] VILLAGER,303,2306
2:REQUEST(ESTIMATE Agent[04] POSSESSED),304,1548
1:REQUEST(ESTIMATE Agent[01] VILLAGER),305,1498
1:DISAGREE ESTIMATE Agent[04] WEREWOLF,306,3767
2:AGREE REQUEST(VOTE Agent[04]),307,714
5:ESTIMATE Agent[01] POSSESSED,308,279
2:COMINGOUT Agent[02] VILLAGER,309,83
2:REQUEST(ESTIMATE Agent[01] POSSESSED),310,1503
5:ESTIMATE Agent[04] POSSESSED,311,288
1:DISAGREE ESTIMATE Agent[04] POSSESSED,312,34
1:DISAGREE DIVINED Agent[05] WEREWOLF,313,1038
2:AGREE REQUEST(ESTIMATE Agent[01] POSSESSED),314,445
3:REQUEST(Agent[04] DIVINATION Agent[05]),315,282
2:COMINGOUT Agent[02] WEREWOLF,316,934
2:REQUEST(COMINGOUT Agent[01] POSSESSED),317,71
2:AGREE REQUEST(ESTIMATE Agent[04] POSSESSED),318,480
3:REQUEST(Agent[04] DIVINATION Agent[04]),319,70
1:DISAGREE DIVINED Agent[02] WEREWOLF,320,497
1:DIVINATION Agent[03],321,60
1:DIVINATION Agent[02],322,65
2:DISAGREE DIVINATION Agent[02],323,18
1:DISAGREE DIVINED Agent[02] HUMAN,324,153
3:REQUEST(Agent[04] DIVINATION Agent[02]),325,185
3:DISAGREE ESTIMATE Agent[04] SEER,326,75
3:REQUEST(Agent[01] DIVINATION Agent[01]),327,32
1:AGREE VOTE Agent[03],328,3143
1:AGREE ESTIMATE Agent[01] WEREWOLF,329,1003
1:AGREE REQUEST(VOTE Agent[05]),330,889
1:AGREE VOTE Agent[02],331,5984
1:REQUEST(ESTIMATE Agent[02] POSSESSED),332,1152
1:AGREE REQUEST(ESTIMATE Agent[02] POSSESSED),333,347
1:AGREE REQUEST(VOTE Agent[02]),334,1025
1:AGREE REQUEST(VOTE Agent[03]),335,619
1:REQUEST(ESTIMATE Agent[04] POSSESSED),336,1157
1:REQUEST(COMINGOUT Agent[05] POSSESSED),337,137
1:AGREE ESTIMATE Agent[02] WEREWOLF,338,618
1:AGREE VOTE Agent[04],339,2661
1:REQUEST(ESTIMATE Agent[05] POSSESSED),340,1516
1:AGREE REQUEST(ESTIMATE Agent[04] POSSESSED),341,348
1:AGREE REQUEST(ESTIMATE Agent[05] POSSESSED),342,370
1:AGREE VOTE Agent[05],343,2513
1:AGREE ESTIMATE Agent[05] POSSESSED,344,60
1:AGREE ESTIMATE Agent[01] POSSESSED,345,117
1:REQUEST(ESTIMATE Agent[03] POSSESSED),346,1167
1:AGREE ESTIMATE Agent[05] WEREWOLF,347,627
1:AGREE ESTIMATE Agent[03] WEREWOLF,348,664
1:REQUEST(VOTE Agent[03]),349,4807
1:AGREE ESTIMATE Agent[04] WEREWOLF,350,583
1:AGREE REQUEST(ESTIMATE Agent[03] POSSESSED),351,320
1:AGREE ESTIMATE Agent[03] POSSESSED,352,51
1:REQUEST(COMINGOUT Agent[04] POSSESSED),353,145
1:REQUEST(COMINGOUT Agent[03] POSSESSED),354,83
1:AGREE ESTIMATE Agent[02] POSSESSED,355,63
2:ESTIMATE Agent[01] VILLAGER,356,11944
2:ESTIMATE Agent[03] VILLAGER,357,11491
2:ESTIMATE Agent[05] VILLAGER,358,10219
2:ESTIMATE Agent[04] VILLAGER,359,11039
4:REQUEST(Agent[05] DIVINATION Agent[01]),360,116
1:AGREE ESTIMATE Agent[04] VILLAGER,361,2481
4:DISAGREE ESTIMATE Agent[05] SEER,362,55
4:REQUEST(Agent[05] DIVINATION Agent[05]),363,91
